AppID,Name,Published Date,Original Price,Discount Price,Discount %,Reviews Count,Reviews Positive,Review Label,Search Filter,Number Of Players,Controller Support,OS
210970,The Witness,"26 Jan, 2016",Rp 269 999,Rp 53 999,-80%,8834,82%,Very Positive,topsellers,Singleplayer,Xbox Controller Support,"Windows, macOS"
221910,The Stanley Parable,"17 Oct, 2013",Rp 72 499,Rp 36 249,-50%,28235,92%,Very Positive,topsellers,Singleplayer,"Full Controller Support, Xbox Controller Support","SteamOS + Linux, Windows, macOS"
3347400,GIRLS' FRONTLINE 2: EXILIUM,"10 Feb, 2025",Free,Free,N/A,2898,67%,Mixed,"mostplayed, newreleases, topsellers, upcomingreleases",Singleplayer,N/A,Windows
262060,Darkest Dungeon®,"19 Jan, 2016",Rp 204 500,Rp 204 500,N/A,56147,90%,Very Positive,"mostplayed, newreleases, topsellers, upcomingreleases",Singleplayer,"DualShock Controller Support, Xbox Controller Support","SteamOS + Linux, Windows, macOS"
464060,RUINER,"26 Sep, 2017",Rp 165 999,Rp 16 599,-90%,4659,90%,Very Positive,topsellers,Singleplayer,"Full Controller Support, Xbox Controller Support","SteamOS + Linux, Windows"
2001760,Beast of Reincarnation,"3 Aug, 2026",Rp 599 000,Rp 599 000,N/A,N/A,N/A,N/A,topsellers,Singleplayer,"DualShock Controller Support, Dualsense Controller Support, Full Controller Support, Gamepad Preferred, Xbox Controller Support",Windows
1295500,"Warhammer 40,000: Battlesector","22 Jul, 2021",Rp 299 999,Rp 299 999,N/A,3175,87%,Very Positive,"mostplayed, newreleases, topsellers, upcomingreleases","Multi-player, Online PvP, PvP, Shared/Split Screen, Shared/Split Screen PvP, Singleplayer",Xbox Controller Support,Windows
4249110,Resident Evil 2 (1998),"1 Apr, 2026",Rp 129 000,Rp 64 500,-50%,1726,90%,Very Positive,topsellers,Singleplayer,"DualShock Controller Support, Dualsense Controller Support, Xbox Controller Support",Windows
3453970,Farming Simulator 25: Highlands Fishing Expansion,"4 Nov, 2025",Rp 326 000,Rp 326 000,N/A,300,55%,Mixed,topsellers,"Co-op, Multi-player, Online Co-op, Singleplayer","DualShock Controller Support, Full Controller Support, Xbox Controller Support","Windows, macOS"
601150,Devil May Cry 5,"7 Mar, 2019",Rp 389 000,Rp 389 000,N/A,38972,95%,Overwhelmingly Positive,"mostplayed, newreleases, upcomingreleases","Co-op, Multi-player, Online Co-op, Singleplayer","Full Controller Support, Xbox Controller Support",Windows
2353060,Invincible VS,"30 Apr, 2026",Rp 375 999,Rp 375 999,N/A,2166,76%,Mostly Positive,"mostplayed, newreleases, upcomingreleases","Cross-Platform Multiplayer, Multi-player, Online PvP, PvP, Singleplayer","DualShock Controller Support, Dualsense Controller Support, Full Controller Support, Gamepad Preferred, Xbox Controller Support",Windows
668580,Atomic Heart,"20 Feb, 2023",Rp 549 000,Rp 549 000,N/A,13275,78%,Mostly Positive,"mostplayed, newreleases, upcomingreleases",Singleplayer,"Full Controller Support, Xbox Controller Support",Windows
285900,Gang Beasts,"12 Dec, 2017",Rp 169 000,Rp 169 000,N/A,25264,85%,Very Positive,"mostplayed, newreleases, upcomingreleases","Multi-player, Online PvP, PvP, Shared/Split Screen, Shared/Split Screen PvP","Full Controller Support, Xbox Controller Support","SteamOS + Linux, Windows, macOS"
1547000,Grand Theft Auto: San Andreas – The Definitive Edition,"19 Jan, 2023",Rp 649 000,Rp 649 000,N/A,4502,77%,Mostly Positive,"mostplayed, newreleases, upcomingreleases",Singleplayer,"Full Controller Support, Xbox Controller Support",Windows
2070270,Cloudheim,"4 Dec, 2025",Rp 245 999,Rp 245 999,N/A,1598,81%,Very Positive,"mostplayed, newreleases, upcomingreleases","Co-op, Cross-Platform Multiplayer, Multi-player, Online Co-op, Singleplayer","DualShock Controller Support, Dualsense Controller Support, Full Controller Support, Xbox Controller Support",Windows
2532480,"Warhammer 40,000: Mechanicus II","21 May, 2026",Rp 454 999,Rp 454 999,N/A,1734,53%,Mixed,"mostplayed, newreleases, upcomingreleases",Singleplayer,"Full Controller Support, Xbox Controller Support",Windows
3110760,Alabaster Dawn,"7 May, 2026",Rp 214 999,Rp 214 999,N/A,1887,94%,Very Positive,"mostplayed, newreleases, upcomingreleases",Singleplayer,"DualShock Controller Support, Full Controller Support, Xbox Controller Support","SteamOS + Linux, Windows"
2842040,Star Wars Outlaws,"21 Nov, 2024",Rp 809 000,Rp 809 000,N/A,6981,71%,Mostly Positive,"mostplayed, newreleases, upcomingreleases",Singleplayer,"DualShock Controller Support, Dualsense Controller Support, Full Controller Support, Xbox Controller Support",Windows
412020,Metro Exodus,"14 Feb, 2020",Rp 321 000,Rp 321 000,N/A,34118,87%,Very Positive,"mostplayed, newreleases, upcomingreleases",Singleplayer,"Full Controller Support, Xbox Controller Support","SteamOS + Linux, Windows, macOS"
2495100,Hello Kitty Island Adventure,"30 Jan, 2025",Rp 525 000,Rp 525 000,N/A,5951,93%,Very Positive,"mostplayed, newreleases","Co-op, Multi-player, Online Co-op, Singleplayer","DualShock Controller Support, Dualsense Controller Support, Full Controller Support, Gamepad Preferred, Xbox Controller Support",Windows
2499860,DRAGON QUEST VII Reimagined,"5 Feb, 2026",Rp 879 000,Rp 879 000,N/A,1928,88%,Very Positive,"mostplayed, newreleases, upcomingreleases",Singleplayer,"Full Controller Support, Xbox Controller Support",Windows
2582320,Mixtape,"7 May, 2026",Rp 169 000,Rp 169 000,N/A,3389,85%,Very Positive,"mostplayed, newreleases, upcomingreleases",Singleplayer,"DualShock Controller Support, Dualsense Controller Support, Full Controller Support, Gamepad Preferred, Xbox Controller Support",Windows
379430,Kingdom Come: Deliverance,"13 Feb, 2018",Rp 321 000,Rp 321 000,N/A,62541,83%,Very Positive,"mostplayed, newreleases, upcomingreleases",Singleplayer,"Full Controller Support, Xbox Controller Support",Windows
1774580,STAR WARS Jedi: Survivor™,"27 Apr, 2023",Rp 759 000,Rp 759 000,N/A,49356,69%,Mixed,"mostplayed, newreleases, upcomingreleases",Singleplayer,"DualShock Controller Support, Dualsense Controller Support, Full Controller Support, Gamepad Preferred, Xbox Controller Support",Windows
233860,Kenshi,"6 Dec, 2018",Rp 139 999,Rp 139 999,N/A,47533,95%,Overwhelmingly Positive,"mostplayed, newreleases, upcomingreleases",Singleplayer,N/A,Windows
934700,Dead Island 2,"22 Apr, 2024",Rp 534 000,Rp 534 000,N/A,9614,76%,Mostly Positive,"mostplayed, newreleases, upcomingreleases","Co-op, Multi-player, Online Co-op, Singleplayer","DualShock Controller Support, Dualsense Controller Support, Full Controller Support, Xbox Controller Support","Windows, macOS"
2255370,Directive 8020,"12 May, 2026",Rp 583 000,Rp 583 000,N/A,1152,64%,Mixed,"mostplayed, newreleases, upcomingreleases","Co-op, Multi-player, Shared/Split Screen, Shared/Split Screen Co-op, Singleplayer","DualShock Controller Support, Dualsense Controller Support, Full Controller Support, Xbox Controller Support",Windows
1222140,Detroit: Become Human,"18 Jun, 2020",Rp 399 000,Rp 399 000,N/A,54077,95%,Overwhelmingly Positive,"mostplayed, newreleases, upcomingreleases",Singleplayer,"Full Controller Support, Xbox Controller Support",Windows
1809540,Nine Sols,"28 May, 2024",Rp 245 999,Rp 245 999,N/A,18776,95%,Overwhelmingly Positive,"mostplayed, newreleases, upcomingreleases",Singleplayer,"DualShock Controller Support, Dualsense Controller Support, Full Controller Support, Gamepad Preferred, Xbox Controller Support","Windows, macOS"
546560,Half-Life: Alyx,"23 Mar, 2020",Rp 449 999,Rp 449 999,N/A,61041,98%,Overwhelmingly Positive,"mostplayed, newreleases, upcomingreleases",Singleplayer,N/A,Windows
996580,Spyro™ Reignited Trilogy,"3 Sep, 2019",Rp 599 000,Rp 599 000,N/A,8924,92%,Very Positive,"mostplayed, newreleases, upcomingreleases",Singleplayer,"Full Controller Support, Xbox Controller Support",Windows
3509230,Gambonanza,"1 May, 2026",Rp 129 999,Rp 129 999,N/A,1281,74%,Mostly Positive,"mostplayed, newreleases, upcomingreleases",Singleplayer,"DualShock Controller Support, Dualsense Controller Support, Full Controller Support, Xbox Controller Support","SteamOS + Linux, Windows, macOS"
494840,UBOAT,"2 Aug, 2024",Rp 245 999,Rp 245 999,N/A,11473,85%,Very Positive,"mostplayed, newreleases, upcomingreleases",Singleplayer,N/A,Windows
631510,Devil May Cry HD Collection,"13 Mar, 2018",Rp 389 000,Rp 389 000,N/A,8313,93%,Very Positive,"mostplayed, newreleases, upcomingreleases",Singleplayer,"Full Controller Support, Xbox Controller Support",Windows
2778610,Over The Top: WWI,"6 Mar, 2026",Rp 161 759,Rp 113 231,-30%,4945,85%,Very Positive,"mostplayed, newreleases, upcomingreleases","Co-op, LAN Co-op, LAN PvP, Multi-player, Online Co-op, Online PvP, PvP, Singleplayer","DualShock Controller Support, Dualsense Controller Support, Xbox Controller Support",Windows
2124490,SILENT HILL 2,"7 Oct, 2024",Rp 937 000,Rp 937 000,N/A,22676,94%,Very Positive,"mostplayed, newreleases, upcomingreleases",Singleplayer,"DualShock Controller Support, Dualsense Controller Support, Full Controller Support, Gamepad Preferred, Xbox Controller Support",Windows
1139980,Travellers Rest,"28 Jul, 2020",Rp 152 999,Rp 152 999,N/A,8061,89%,Very Positive,"mostplayed, newreleases, upcomingreleases","Co-op, Multi-player, Online Co-op, Shared/Split Screen, Shared/Split Screen Co-op, Singleplayer","DualShock Controller Support, Dualsense Controller Support, Full Controller Support, Xbox Controller Support",Windows
4447660,Warframe: TennoCon 2026 Digital Pack,"4 May, 2026",Rp 209 000,Rp 209 000,N/A,62,95%,Very Positive,"mostplayed, newreleases, upcomingreleases","Co-op, Cross-Platform Multiplayer, Multi-player, Online Co-op, Singleplayer","DualShock Controller Support, Dualsense Controller Support, Full Controller Support, Steam Input API Support, Xbox Controller Support",Windows
3542380,Rune Dice,"19 May, 2026",Rp 130 999,Rp 130 999,N/A,911,76%,Mostly Positive,"mostplayed, newreleases, upcomingreleases",Singleplayer,"Dualsense Controller Support, Full Controller Support, Xbox Controller Support",Windows
335300,DARK SOULS™ II: Scholar of the First Sin,"1 Apr, 2015",Rp 399 000,Rp 399 000,N/A,34276,83%,Very Positive,"mostplayed, newreleases, upcomingreleases","Co-op, Multi-player, Singleplayer","Full Controller Support, Xbox Controller Support",Windows
312520,Rain World,"28 Mar, 2017",Rp 206 999,Rp 206 999,N/A,28739,95%,Overwhelmingly Positive,"mostplayed, newreleases, upcomingreleases","Multi-player, PvP, Shared/Split Screen PvP, Singleplayer","Full Controller Support, Xbox Controller Support",Windows
21970,R.U.S.E.™,"9 Sep, 2010",Rp 359 220,Rp 359 220,N/A,1461,94%,Very Positive,"mostplayed, newreleases, upcomingreleases","Co-op, Multi-player, Online Co-op, Online PvP, PvP, Singleplayer","Full Controller Support, Xbox Controller Support",Windows
3400960,Oaken Tower,"28 Apr, 2026",Rp 86 999,Rp 86 999,N/A,1168,94%,Very Positive,"mostplayed, newreleases, upcomingreleases","Multi-player, Online PvP, PvP",N/A,Windows
493520,GTFO,"9 Dec, 2021",Rp 487 000,Rp 487 000,N/A,25417,88%,Very Positive,"mostplayed, newreleases, upcomingreleases","Co-op, Multi-player, Online Co-op",Xbox Controller Support,Windows
1594320,Captain of Industry,"31 May, 2022",Rp 284 999,Rp 284 999,N/A,5567,87%,Very Positive,"mostplayed, newreleases, upcomingreleases",Singleplayer,N/A,Windows
2893570,DRAGON QUEST I & II HD-2D Remake,"30 Oct, 2025",Rp 879 000,Rp 879 000,N/A,1606,83%,Very Positive,"mostplayed, newreleases, upcomingreleases",Singleplayer,"DualShock Controller Support, Dualsense Controller Support, Xbox Controller Support",Windows
1206200,Conan Exiles Enhanced: Isle of Siptah,"27 May, 2021",Rp 139 999,Rp 139 999,N/A,1416,52%,Mixed,"mostplayed, newreleases, upcomingreleases","Co-op, Multi-player, Online Co-op, Online PvP, PvP, Singleplayer",Xbox Controller Support,Windows
